Info,UF,Município,Metro/Interior,Ano_Semana,CasosAcumulados,CasosNovos,ObitosAcumulados,ObitosNovos
COVID19Casos,AL,Colônia Leopoldina,Interior,9/2023,3.654,0.0,161.0,0
COVID19Casos,AL,Coqueiro Seco,Reg. Metropolitana,9/2023,4.312,0.0,63.0,0
COVID19Casos,AL,Coruripe,Interior,9/2023,42.619,1.0,511.0,0
COVID19Casos,AL,Craíbas,Interior,9/2023,11.669,0.0,245.0,0
COVID19Casos,AL,Delmiro Gouveia,Interior,9/2023,45.556,0.0,1.057,0
COVID19Casos,AL,Dois Riachos,Interior,9/2023,5.992,0.0,63.0,0
COVID19Casos,AL,Estrela de Alagoas,Interior,9/2023,5.613,1.0,161.0,0
COVID19Casos,AL,Feira Grande,Interior,9/2023,8.029,0.0,168.0,0
COVID19Casos,AL,Feliz Deserto,Interior,9/2023,1.596,0.0,35.0,0
COVID19Casos,AL,Flexeiras,Interior,9/2023,5.859,0.0,147.0,0
COVID19Casos,AL,Girau do Ponciano,Interior,9/2023,17.080,0.0,371.0,0
COVID19Casos,AL,Ibateguara,Interior,9/2023,7.605,1.0,161.0,0
COVID19Casos,AL,Igaci,Interior,9/2023,16.478,0.0,273.0,0
COVID19Casos,AL,Igreja Nova,Interior,9/2023,16.357,1.0,168.0,0
COVID19Casos,AL,Inhapi,Interior,9/2023,5.915,0.0,161.0,0
COVID19Casos,AL,Jacaré dos Homens,Interior,9/2023,4.851,0.0,35.0,0
COVID19Casos,AL,Jacuípe,Interior,9/2023,2.464,0.0,28.0,0
COVID19Casos,AL,Japaratinga,Interior,9/2023,5.173,0.0,112.0,0
COVID19Casos,AL,Jaramataia,Interior,9/2023,2.296,0.0,28.0,0
COVID19Casos,AL,Jequiá da Praia,Interior,9/2023,6.160,0.0,91.0,0
COVID19Casos,AL,Joaquim Gomes,Interior,9/2023,6.888,0.0,189.0,0
COVID19Casos,AL,Jundiá,Interior,9/2023,1.387,1.0,35.0,0
COVID19Casos,AL,Junqueiro,Interior,9/2023,9.233,0.0,371.0,0
COVID19Casos,AL,Lagoa da Canoa,Interior,9/2023,15.785,0.0,182.0,0
COVID19Casos,AL,Limoeiro de Anadia,Interior,9/2023,16.114,0.0,252.0,0
COVID19Casos,AL,Maceió,Reg. Metropolitana,9/2023,922.052,113.0,22.456,0
COVID19Casos,AL,Major Isidoro,Interior,9/2023,9.184,0.0,175.0,0
COVID19Casos,AL,Mar Vermelho,Interior,9/2023,2.355,1.0,28.0,0
COVID19Casos,AL,Maragogi,Interior,9/2023,19.048,1.0,385.0,0
COVID19Casos,AL,Maravilha,Interior,9/2023,3.563,0.0,147.0,0
COVID19Casos,AL,Marechal Deodoro,Reg. Metropolitana,9/2023,61.637,2.0,924.0,0
COVID19Casos,AL,Maribondo,Interior,9/2023,5.621,0.0,126.0,0
COVID19Casos,AL,Mata Grande,Interior,9/2023,7.372,1.0,196.0,0
COVID19Casos,AL,Matriz de Camaragibe,Interior,9/2023,12.383,0.0,315.0,0
COVID19Casos,AL,Messias,Reg. Metropolitana,9/2023,13.818,0.0,231.0,0
COVID19Casos,AL,Minador do Negrão,Interior,9/2023,3.248,0.0,70.0,0
COVID19Casos,AL,Monteirópolis,Interior,9/2023,2.142,0.0,119.0,0
COVID19Casos,AL,Murici,Reg. Metropolitana,9/2023,9.037,0.0,385.0,0
COVID19Casos,AL,Novo Lino,Interior,9/2023,2.849,0.0,98.0,0
COVID19Casos,AL,Olho d'Água das Flores,Interior,9/2023,14.882,0.0,308.0,0
COVID19Casos,AL,Olho d'Água do Casado,Interior,9/2023,1.631,0.0,56.0,0
COVID19Casos,AL,Olho d'Água Grande,Interior,9/2023,1.743,0.0,63.0,0
COVID19Casos,AL,Olivença,Interior,9/2023,4.207,0.0,119.0,0
COVID19Casos,AL,Ouro Branco,Interior,9/2023,6.924,1.0,84.0,0
COVID19Casos,AL,Palestina,Interior,9/2023,4.081,0.0,35.0,0
COVID19Casos,AL,Palmeira dos Índios,Interior,9/2023,53.296,1.0,1.302,0
COVID19Casos,AL,Pão de Açúcar,Interior,9/2023,10.975,1.0,245.0,0
COVID19Casos,AL,Pariconha,Interior,9/2023,7.512,1.0,77.0,0
COVID19Casos,AL,Paripueira,Reg. Metropolitana,9/2023,4.152,1.0,203.0,0
COVID19Casos,AL,Passo de Camaragibe,Interior,9/2023,6.881,0.0,168.0,0
COVID19Casos,AL,Paulo Jacinto,Interior,9/2023,4.249,0.0,112.0,0
COVID19Casos,AL,Penedo,Interior,9/2023,39.244,2.0,714.0,0
COVID19Casos,AL,Piaçabuçu,Interior,9/2023,10.836,0.0,175.0,0
COVID19Casos,AL,Pilar,Reg. Metropolitana,9/2023,36.825,6.0,476.0,0
COVID19Casos,AL,Pindoba,Interior,9/2023,2.072,0.0,28.0,0
COVID19Casos,AL,Piranhas,Interior,9/2023,13.639,1.0,196.0,0
COVID19Casos,AL,Poço das Trincheiras,Interior,9/2023,5.110,0.0,91.0,0
COVID19Casos,AL,Porto Calvo,Interior,9/2023,9.562,0.0,350.0,0
COVID19Casos,AL,Porto de Pedras,Interior,9/2023,4.277,0.0,105.0,0
COVID19Casos,AL,Porto Real do Colégio,Interior,9/2023,5.544,0.0,168.0,0
COVID19Casos,AL,Quebrangulo,Interior,9/2023,10.640,0.0,105.0,0
COVID19Casos,AL,Rio Largo,Reg. Metropolitana,9/2023,37.076,2.0,1.365,0
COVID19Casos,AL,Roteiro,Interior,9/2023,3.276,0.0,98.0,0
COVID19Casos,AL,Santa Luzia do Norte,Reg. Metropolitana,9/2023,6.167,0.0,77.0,0
COVID19Casos,AL,Santana do Ipanema,Interior,9/2023,45.934,0.0,805.0,0
COVID19Casos,AL,Santana do Mundaú,Interior,9/2023,6.545,0.0,133.0,0
COVID19Casos,AL,São Brás,Interior,9/2023,3.626,0.0,35.0,0
COVID19Casos,AL,São José da Laje,Interior,9/2023,10.378,1.0,266.0,0
COVID19Casos,AL,São José da Tapera,Interior,9/2023,11.242,0.0,315.0,0
COVID19Casos,AL,São Luís do Quitunde,Interior,9/2023,11.683,0.0,189.0,0
COVID19Casos,AL,São Miguel dos Campos,Interior,9/2023,42.306,1.0,784.0,0
COVID19Casos,AL,São Miguel dos Milagres,Interior,9/2023,2.702,0.0,112.0,0
COVID19Casos,AL,São Sebastião,Interior,9/2023,15.813,0.0,294.0,0
COVID19Casos,AL,Satuba,Reg. Metropolitana,9/2023,12.418,0.0,322.0,0
COVID19Casos,AL,Senador Rui Palmeira,Interior,9/2023,3.192,0.0,91.0,0
COVID19Casos,AL,Tanque d'Arca,Interior,9/2023,3.682,0.0,91.0,0
COVID19Casos,AL,Taquarana,Interior,9/2023,8.239,0.0,217.0,0
COVID19Casos,AL,Teotônio Vilela,Interior,9/2023,23.058,0.0,525.0,0
COVID19Casos,AL,Traipu,Interior,9/2023,6.161,1.0,210.0,0
COVID19Casos,AL,União dos Palmares,Interior,9/2023,28.945,0.0,735.0,0
COVID19Casos,AL,Viçosa,Interior,9/2023,19.124,0.0,301.0,0
COVID19Casos,AM,Alvarães,Interior,9/2023,28.161,58.0,322.0,0
COVID19Casos,AM,Amaturá,Interior,9/2023,18.466,0.0,133.0,0
COVID19Casos,AM,Anamã,Interior,9/2023,17.703,0.0,77.0,0
COVID19Casos,AM,Anori,Interior,9/2023,18.690,0.0,231.0,0
COVID19Casos,AM,Apuí,Interior,9/2023,17.122,0.0,252.0,0
COVID19Casos,AM,Atalaia do Norte,Interior,9/2023,29.711,2.0,77.0,0
COVID19Casos,AM,Autazes,Reg. Metropolitana,9/2023,29.560,8.0,714.0,0
COVID19Casos,AM,Barcelos,Interior,9/2023,37.595,4.0,420.0,0
COVID19Casos,AM,Barreirinha,Interior,9/2023,28.897,12.0,483.0,0
COVID19Casos,AM,Benjamin Constant,Interior,9/2023,29.113,0.0,623.0,0
COVID19Casos,AM,Beruri,Interior,9/2023,20.874,0.0,245.0,0
COVID19Casos,AM,Boa Vista do Ramos,Interior,9/2023,13.353,10.0,98.0,0
COVID19Casos,AM,Boca do Acre,Interior,9/2023,34.328,0.0,224.0,0
COVID19Casos,AM,Borba,Interior,9/2023,28.029,39.0,497.0,0
COVID19Casos,AM,Caapiranga,Interior,9/2023,7.307,11.0,168.0,0
COVID19Casos,AM,Canutama,Interior,9/2023,14.511,0.0,77.0,0
COVID19Casos,AM,Carauari,Interior,9/2023,55.622,0.0,413.0,0
COVID19Casos,AM,Careiro,Reg. Metropolitana,9/2023,46.677,76.0,637.0,0
COVID19Casos,AM,Careiro da Várzea,Reg. Metropolitana,9/2023,16.696,9.0,196.0,0
COVID19Casos,AM,Coari,Interior,9/2023,82.928,12.0,1.743,0
COVID19Casos,AM,Codajás,Interior,9/2023,22.297,27.0,196.0,0
COVID19Casos,AM,Eirunepé,Interior,9/2023,41.338,2.0,245.0,0
COVID19Casos,AM,Envira,Interior,9/2023,25.424,0.0,98.0,0
COVID19Casos,AM,Fonte Boa,Interior,9/2023,13.048,0.0,315.0,0
COVID19Casos,AM,Guajará,Interior,9/2023,16.114,0.0,217.0,0
COVID19Casos,AM,Humaitá,Interior,9/2023,84.223,10.0,1.113,0
COVID19Casos,AM,Ipixuna,Interior,9/2023,46.862,1.0,147.0,0
COVID19Casos,AM,Iranduba,Reg. Metropolitana,9/2023,99.199,45.0,1.246,0
COVID19Casos,AM,Itacoatiara,Reg. Metropolitana,9/2023,122.751,87.0,2.359,0
COVID19Casos,AM,Itamarati,Interior,9/2023,7.973,0.0,63.0,0
COVID19Casos,AM,Itapiranga,Reg. Metropolitana,9/2023,28.161,0.0,322.0,0
COVID19Casos,AM,Japurá,Interior,9/2023,8.729,0.0,84.0,0
COVID19Casos,AM,Juruá,Interior,9/2023,7.589,7.0,119.0,0
COVID19Casos,AM,Jutaí,Interior,9/2023,36.680,0.0,287.0,0
COVID19Casos,AM,Lábrea,Interior,9/2023,70.277,11.0,602.0,0
COVID19Casos,AM,Manacapuru,Reg. Metropolitana,9/2023,89.624,37.0,2.938,1
COVID19Casos,AM,Manaquiri,Reg. Metropolitana,9/2023,20.748,0.0,385.0,0
COVID19Casos,AM,Manaus,Reg. Metropolitana,9/2023,2.217.574,790.0,69.445,10
COVID19Casos,AM,Manicoré,Interior,9/2023,57.491,0.0,770.0,0
COVID19Casos,AM,Maraã,Interior,9/2023,20.237,0.0,161.0,0
COVID19Casos,AM,Maués,Interior,9/2023,54.515,62.0,971.0,1
COVID19Casos,AM,Nhamundá,Interior,9/2023,16.399,14.0,294.0,0
COVID19Casos,AM,Nova Olinda do Norte,Interior,9/2023,22.897,0.0,497.0,0
COVID19Casos,AM,Novo Airão,Reg. Metropolitana,9/2023,26.645,34.0,259.0,0
COVID19Casos,AM,Novo Aripuanã,Interior,9/2023,24.682,9.0,217.0,0
COVID19Casos,AM,Parintins,Interior,9/2023,87.339,23.0,2.52,0
COVID19Casos,AM,Pauini,Interior,9/2023,25.585,0.0,168.0,0
COVID19Casos,AM,Presidente Figueiredo,Reg. Metropolitana,9/2023,59.727,25.0,861.0,0
COVID19Casos,AM,Rio Preto da Eva,Reg. Metropolitana,9/2023,52.011,40.0,602.0,0
COVID19Casos,AM,Santa Isabel do Rio Negro,Interior,9/2023,22.631,21.0,399.0,0
COVID19Casos,AM,Santo Antônio do Içá,Interior,9/2023,16.114,0.0,336.0,0
COVID19Casos,AM,São Gabriel da Cachoeira,Interior,9/2023,84.643,169.0,791.0,0
COVID19Casos,AM,São Paulo de Olivença,Interior,9/2023,46.382,0.0,469.0,0
COVID19Casos,AM,São Sebastião do Uatumã,Interior,9/2023,15.195,13.0,133.0,0
COVID19Casos,AM,Silves,Reg. Metropolitana,9/2023,15.966,16.0,154.0,0
COVID19Casos,AM,Tabatinga,Interior,9/2023,37.498,1.0,910.0,0
COVID19Casos,AM,Tapauá,Interior,9/2023,16.583,0.0,182.0,0
COVID19Casos,AM,Tefé,Interior,9/2023,97.658,101.0,1.428,0
COVID19Casos,AM,Tonantins,Interior,9/2023,15.845,1.0,294.0,0
COVID19Casos,AM,Uarini,Interior,9/2023,17.758,14.0,182.0,0
COVID19Casos,AM,Urucará,Interior,9/2023,23.654,26.0,385.0,0
COVID19Casos,AM,Urucurituba,Interior,9/2023,27.271,14.0,273.0,0
COVID19Casos,AP,Amapá,Interior,9/2023,14.873,1.0,91.0,0
COVID19Casos,AP,Calçoene,Interior,9/2023,22.763,3.0,105.0,0
COVID19Casos,AP,Cutias,Interior,9/2023,8.260,0.0,49.0,0
COVID19Casos,AP,Ferreira Gomes,Interior,9/2023,15.960,0.0,49.0,0
COVID19Casos,AP,Itaubal,Interior,9/2023,6.629,0.0,21.0,0
COVID19Casos,AP,Laranjal do Jari,Interior,9/2023,77.945,0.0,679.0,0
COVID19Casos,AP,Macapá,Reg. Metropolitana,9/2023,695.864,183.0,11.298,0
COVID19Casos,AP,Mazagão,Reg. Metropolitana,9/2023,31.946,9.0,196.0,0
COVID19Casos,AP,Oiapoque,Interior,9/2023,56.371,17.0,378.0,0
COVID19Casos,AP,Pedra Branca do Amapari,Interior,9/2023,31.077,1.0,98.0,0
COVID19Casos,AP,Porto Grande,Interior,9/2023,27.329,5.0,210.0,0
COVID19Casos,AP,Pracuúba,Interior,9/2023,4.198,1.0,42.0,0
COVID19Casos,AP,Santana,Reg. Metropolitana,9/2023,242.076,26.0,1.589,0
COVID19Casos,AP,Serra do Navio,Interior,9/2023,14.180,1.0,35.0,0
COVID19Casos,AP,Tartarugalzinho,Interior,9/2023,18.088,0.0,133.0,0
COVID19Casos,AP,Vitória do Jari,Interior,9/2023,31.437,0.0,196.0,0
COVID19Casos,BA,,Interior,9/2023,155.538,45.0,2.527,0
COVID19Casos,BA,Abaíra,Interior,9/2023,2.525,1.0,119.0,0
COVID19Casos,BA,Abaré,Interior,9/2023,21.047,1.0,126.0,0
COVID19Casos,BA,Acajutiba,Interior,9/2023,5.278,0.0,196.0,0
COVID19Casos,BA,Adustina,Interior,9/2023,12.635,0.0,203.0,0
COVID19Casos,BA,Água Fria,Interior,9/2023,3.409,0.0,91.0,0
COVID19Casos,BA,Aiquara,Interior,9/2023,4.774,0.0,84.0,0
COVID19Casos,BA,Alagoinhas,Interior,9/2023,142.921,6.0,2.597,0
COVID19Casos,BA,Alcobaça,Interior,9/2023,19.761,0.0,231.0,0
COVID19Casos,BA,Almadina,Interior,9/2023,6.244,0.0,91.0,0
COVID19Casos,BA,Amargosa,Interior,9/2023,37.373,1.0,469.0,0
COVID19Casos,BA,Amélia Rodrigues,Interior,9/2023,22.111,1.0,392.0,0
COVID19Casos,BA,América Dourada,Interior,9/2023,9.436,0.0,98.0,0
COVID19Casos,BA,Anagé,Interior,9/2023,9.219,0.0,231.0,0
COVID19Casos,BA,Andaraí,Interior,9/2023,10.178,0.0,105.0,0
COVID19Casos,BA,Andorinha,Interior,9/2023,11.487,0.0,147.0,0
COVID19Casos,BA,Angical,Interior,9/2023,9.383,2.0,154.0,0
COVID19Casos,BA,Anguera,Interior,9/2023,5.474,0.0,35.0,0
COVID19Casos,BA,Antas,Interior,9/2023,10.584,0.0,105.0,0
COVID19Casos,BA,Antônio Cardoso,Interior,9/2023,8.911,0.0,84.0,0
COVID19Casos,BA,Antônio Gonçalves,Interior,9/2023,8.869,0.0,84.0,0
COVID19Casos,BA,Aporá,Interior,9/2023,5.117,0.0,175.0,0
COVID19Casos,BA,Apuarema,Interior,9/2023,6.545,0.0,91.0,0
COVID19Casos,BA,Araçás,Interior,9/2023,7.560,0.0,112.0,0
COVID19Casos,BA,Aracatu,Interior,9/2023,10.374,0.0,161.0,0
COVID19Casos,BA,Araci,Interior,9/2023,33.418,0.0,446.0,1
COVID19Casos,BA,Aramari,Interior,9/2023,7.525,0.0,105.0,0
COVID19Casos,BA,Arataca,Interior,9/2023,6.762,0.0,112.0,0
COVID19Casos,BA,Aratuípe,Interior,9/2023,8.526,0.0,105.0,0
COVID19Casos,BA,Aurelino Leal,Interior,9/2023,9.688,0.0,287.0,0
COVID19Casos,BA,Baianópolis,Interior,9/2023,9.695,0.0,182.0,0
COVID19Casos,BA,Baixa Grande,Interior,9/2023,10.514,0.0,196.0,0
COVID19Casos,BA,Banzaê,Interior,9/2023,10.435,1.0,98.0,0
COVID19Casos,BA,Barra,Interior,9/2023,25.710,1.0,504.0,0
COVID19Casos,BA,Barra da Estiva,Interior,9/2023,28.023,-1.0,266.0,0
COVID19Casos,BA,Barra do Choça,Interior,9/2023,21.112,0.0,315.0,0
COVID19Casos,BA,Barra do Mendes,Interior,9/2023,11.760,0.0,168.0,0
COVID19Casos,BA,Barra do Rocha,Interior,9/2023,5.733,0.0,56.0,0
COVID19Casos,BA,Barreiras,Interior,9/2023,187.200,61.0,2.492,0
COVID19Casos,BA,Barro Alto,Interior,9/2023,9.590,0.0,119.0,0
COVID19Casos,BA,Barro Preto,Interior,9/2023,5.446,0.0,105.0,0
COVID19Casos,BA,Barrocas,Interior,9/2023,8.281,0.0,210.0,0
COVID19Casos,BA,Belmonte,Interior,9/2023,13.248,2.0,231.0,0
COVID19Casos,BA,Belo Campo,Interior,9/2023,9.254,0.0,154.0,0
COVID19Casos,BA,Biritinga,Interior,9/2023,8.127,0.0,91.0,0
COVID19Casos,BA,Boa Nova,Interior,9/2023,9.667,3.0,161.0,0
COVID19Casos,BA,Boa Vista do Tupim,Interior,9/2023,2.247,0.0,98.0,0
COVID19Casos,BA,Bom Jesus da Lapa,Interior,9/2023,61.191,3.0,777.0,0
COVID19Casos,BA,Bom Jesus da Serra,Interior,9/2023,4.938,1.0,91.0,0
COVID19Casos,BA,Boninal,Interior,9/2023,8.498,0.0,77.0,0
COVID19Casos,BA,Bonito,Interior,9/2023,12.222,0.0,126.0,0
COVID19Casos,BA,Boquira,Interior,9/2023,8.153,2.0,195.0,1
COVID19Casos,BA,Botuporã,Interior,9/2023,8.491,0.0,56.0,0
COVID19Casos,BA,Brejões,Interior,9/2023,10.409,0.0,140.0,0
COVID19Casos,BA,Brejolândia,Interior,9/2023,3.052,0.0,91.0,0
COVID19Casos,BA,Brotas de Macaúbas,Interior,9/2023,4.830,0.0,63.0,0
COVID19Casos,BA,Brumado,Interior,9/2023,84.049,0.0,1.477,0
COVID19Casos,BA,Buerarema,Interior,9/2023,12.250,0.0,371.0,0
COVID19Casos,BA,Buritirama,Interior,9/2023,11.256,0.0,203.0,0
COVID19Casos,BA,Caatiba,Interior,9/2023,7.198,1.0,119.0,0
COVID19Casos,BA,Cabaceiras do Paraguaçu,Interior,9/2023,11.914,0.0,56.0,0
COVID19Casos,BA,Cachoeira,Interior,9/2023,23.178,50.0,238.0,0
COVID19Casos,BA,Caculé,Interior,9/2023,25.137,0.0,231.0,0
COVID19Casos,BA,Caém,Interior,9/2023,8.176,0.0,70.0,0
COVID19Casos,BA,Caetanos,Interior,9/2023,5.915,0.0,98.0,0
COVID19Casos,BA,Caetité,Interior,9/2023,51.457,0.0,420.0,0
COVID19Casos,BA,Cafarnaum,Interior,9/2023,9.313,1.0,168.0,0
COVID19Casos,BA,Cairu,Interior,9/2023,13.949,1.0,133.0,0
COVID19Casos,BA,Caldeirão Grande,Interior,9/2023,5.299,0.0,49.0,0
COVID19Casos,BA,Camacan,Interior,9/2023,27.822,1.0,707.0,0
COVID19Casos,BA,Camaçari,Reg. Metropolitana,9/2023,248.120,14.0,4.889,1
COVID19Casos,BA,Camamu,Interior,9/2023,23.590,0.0,462.0,0
COVID19Casos,BA,Campo Alegre de Lourdes,Interior,9/2023,9.247,0.0,280.0,0
COVID19Casos,BA,Campo Formoso,Interior,9/2023,48.157,1.0,595.0,0
COVID19Casos,BA,Canápolis,Interior,9/2023,6.741,0.0,70.0,0
COVID19Casos,BA,Canarana,Interior,9/2023,12.971,0.0,322.0,0
COVID19Casos,BA,Canavieiras,Interior,9/2023,12.320,0.0,588.0,0
COVID19Casos,BA,Candeal,Interior,9/2023,6.090,0.0,49.0,0
COVID19Casos,BA,Candeias,Reg. Metropolitana,9/2023,78.939,0.0,1.467,1
COVID19Casos,BA,Candiba,Interior,9/2023,10.234,0.0,140.0,0
COVID19Casos,BA,Cândido Sales,Interior,9/2023,17.521,0.0,427.0,0
COVID19Casos,BA,Cansanção,Interior,9/2023,15.875,2.0,329.0,0
COVID19Casos,BA,Canudos,Interior,9/2023,8.269,1.0,133.0,0
COVID19Casos,BA,Capela do Alto Alegre,Interior,9/2023,11.116,0.0,154.0,0
COVID19Casos,BA,Capim Grosso,Interior,9/2023,29.582,0.0,280.0,0
COVID19Casos,BA,Caraíbas,Interior,9/2023,4.949,0.0,56.0,0
COVID19Casos,BA,Caravelas,Interior,9/2023,16.814,4.0,126.0,0
COVID19Casos,BA,Cardeal da Silva,Interior,9/2023,5.152,0.0,56.0,0
COVID19Casos,BA,Carinhanha,Interior,9/2023,12.700,1.0,245.0,0
COVID19Casos,BA,Casa Nova,Interior,9/2023,24.531,2.0,567.0,0
COVID19Casos,BA,Castro Alves,Interior,9/2023,21.063,0.0,315.0,0
COVID19Casos,BA,Catolândia,Interior,9/2023,3.233,4.0,7.0,0
COVID19Casos,BA,Catu,Interior,9/2023,64.022,0.0,784.0,0
COVID19Casos,BA,Caturama,Interior,9/2023,1.988,0.0,77.0,0
COVID19Casos,BA,Central,Interior,9/2023,10.402,0.0,140.0,0
COVID19Casos,BA,Chorrochó,Interior,9/2023,6.517,0.0,112.0,0
COVID19Casos,BA,Cícero Dantas,Interior,9/2023,21.357,0.0,434.0,0
COVID19Casos,BA,Cipó,Interior,9/2023,13.135,1.0,133.0,0
COVID19Casos,BA,Coaraci,Interior,9/2023,19.649,0.0,413.0,0
COVID19Casos,BA,Cocos,Interior,9/2023,15.920,13.0,175.0,0
COVID19Casos,BA,Conceição da Feira,Interior,9/2023,16.998,89.0,245.0,0
COVID19Casos,BA,Conceição do Almeida,Interior,9/2023,28.945,0.0,238.0,0
COVID19Casos,BA,Conceição do Coité,Interior,9/2023,78.044,99.0,413.0,0
COVID19Casos,BA,Conceição do Jacuípe,Interior,9/2023,35.591,1.0,343.0,0
COVID19Casos,BA,Conde,Interior,9/2023,9.156,0.0,126.0,0
COVID19Casos,BA,Condeúba,Interior,9/2023,15.837,1.0,245.0,0
COVID19Casos,BA,Contendas do Sincorá,Interior,9/2023,2.856,0.0,49.0,0
COVID19Casos,BA,Coração de Maria,Interior,9/2023,21.721,2.0,189.0,0
COVID19Casos,BA,Cordeiros,Interior,9/2023,7.194,1.0,70.0,0
COVID19Casos,BA,Coribe,Interior,9/2023,13.822,7.0,161.0,0
COVID19Casos,BA,Coronel João Sá,Interior,9/2023,12.383,0.0,147.0,0
COVID19Casos,BA,Correntina,Interior,9/2023,33.076,8.0,350.0,0
COVID19Casos,BA,Cotegipe,Interior,9/2023,9.985,1.0,182.0,0
COVID19Casos,BA,Cravolândia,Interior,9/2023,5.922,0.0,14.0,0
COVID19Casos,BA,Crisópolis,Interior,9/2023,5.334,0.0,140.0,0
COVID19Casos,BA,Cristópolis,Interior,9/2023,9.926,0.0,77.0,0
COVID19Casos,BA,Cruz das Almas,Interior,9/2023,60.270,0.0,567.0,0
COVID19Casos,BA,Curaçá,Interior,9/2023,16.610,3.0,287.0,0
COVID19Casos,BA,Dário Meira,Interior,9/2023,8.659,0.0,161.0,0
COVID19Casos,BA,Dias d'Ávila,Reg. Metropolitana,9/2023,54.414,3.0,1.309,0
COVID19Casos,BA,Dom Basílio,Interior,9/2023,11.466,0.0,133.0,0
COVID19Casos,BA,Dom Macedo Costa,Interior,9/2023,3.325,0.0,70.0,0
COVID19Casos,BA,Elísio Medrado,Interior,9/2023,5.467,0.0,70.0,0
COVID19Casos,BA,Encruzilhada,Interior,9/2023,6.639,2.0,168.0,0
COVID19Casos,BA,Entre Rios,Interior,9/2023,17.085,9.0,371.0,0
COVID19Casos,BA,Érico Cardoso,Interior,9/2023,5.145,0.0,42.0,0
COVID19Casos,BA,Esplanada,Interior,9/2023,23.846,2.0,266.0,0
